title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.404,0.24359,0.05325,0.143,0.03649,0.22682,0.00493,0.14201,0.15385
0.406,0.25148,0.0503,0.14201,0.03353,0.2357,0,0.14398,0.14694
0.408,0.24359,0.06016,0.143,0.0355,0.22978,0,0.13807,0.15385
0.41,0.24063,0.05917,0.14103,0.04536,0.21992,0.00493,0.143,0.1499
0.412,0.23669,0.0641,0.13511,0.03748,0.22091,0,0.15385,0.15582
0.414,0.2288,0.06114,0.14497,0.03452,0.23077,0.00493,0.14596,0.15286
0.416,0.23471,0.06016,0.13807,0.0355,0.21302,0.00986,0.15286,0.15976
0.418,0.23866,0.05621,0.14497,0.04241,0.22387,0,0.15187,0.14596
0.42,0.22978,0.06805,0.13905,0.0286,0.22091,0.00493,0.1568,0.15582
0.422,0.23964,0.05917,0.13905,0.0355,0.22288,0,0.14497,0.16272
0.424,0.24458,0.0641,0.13609,0.0217,0.22584,0.00493,0.16075,0.14596
0.426,0.24852,0.0572,0.13905,0.02465,0.22387,0.00493,0.15779,0.14793
0.428,0.23176,0.06213,0.14004,0.03649,0.214,0,0.16469,0.15483
0.43,0.23669,0.06016,0.14103,0.02367,0.22091,0.00493,0.1568,0.15976
0.432,0.23866,0.06016,0.14103,0.03057,0.20611,0.00493,0.15779,0.16469
0.434,0.23176,0.0641,0.14201,0.03649,0.22584,0,0.15089,0.15286
0.436,0.23964,0.05819,0.14398,0.03156,0.22288,0,0.16075,0.14694
0.438,0.23866,0.06312,0.13511,0.03452,0.21499,0.00493,0.16075,0.15187
0.44,0.23373,0.06607,0.13905,0.03057,0.22485,0.00493,0.15483,0.1499
0.442,0.2357,0.06607,0.14103,0.02663,0.22189,0.00493,0.15878,0.14892
0.444,0.23964,0.06016,0.14103,0.02959,0.21696,0,0.15779,0.15878
0.446,0.24556,0.05621,0.13511,0.02367,0.23176,0,0.15286,0.15878
0.448,0.24753,0.05917,0.13609,0.03057,0.21696,0.00493,0.16272,0.14596
0.45,0.22978,0.0641,0.13807,0.03156,0.22288,0.00493,0.1568,0.15582
0.452,0.2426,0.05819,0.13708,0.03156,0.23373,0.00493,0.14497,0.15089
0.454,0.2426,0.0641,0.13412,0.02959,0.22682,0.00493,0.1499,0.15187
0.456,0.24458,0.05917,0.13905,0.02564,0.22682,0.00493,0.143,0.16075
0.458,0.24458,0.06509,0.13314,0.03748,0.21105,0.00592,0.14694,0.15976
0.46,0.25345,0.06016,0.13609,0.02268,0.22584,0,0.15878,0.14694
0.462,0.24063,0.0572,0.14004,0.02465,0.22091,0,0.16963,0.15089
0.464,0.24359,0.06312,0.13412,0.02761,0.23077,0,0.15089,0.15385
0.466,0.23077,0.06016,0.13708,0.02564,0.23077,0,0.16075,0.15878
0.468,0.24063,0.06213,0.13609,0.04142,0.22781,0,0.13708,0.15878
0.47,0.24162,0.05819,0.14103,0.03748,0.21302,0.00493,0.15286,0.15483
0.472,0.23373,0.0641,0.13708,0.04438,0.21499,0,0.16075,0.14892
0.474,0.23866,0.06312,0.13609,0.03452,0.22091,0.00493,0.15187,0.15385
0.476,0.23669,0.06114,0.14004,0.03156,0.22584,0,0.14596,0.16272
0.478,0.24063,0.06706,0.12919,0.03156,0.22387,0,0.13609,0.17554
0.48,0.25049,0.0572,0.13609,0.03846,0.22189,0,0.14497,0.15483
0.482,0.23964,0.06213,0.14004,0.04043,0.21696,0,0.14793,0.1568
0.484,0.24458,0.05819,0.14103,0.03353,0.21992,0.00493,0.15286,0.14892
0.486,0.24655,0.05621,0.13511,0.03156,0.21499,0.00493,0.16568,0.14892
0.488,0.26036,0.05227,0.12821,0.03748,0.21598,0,0.14793,0.16174
0.49,0.24556,0.0572,0.13511,0.03057,0.22189,0.00493,0.15187,0.1568
0.492,0.24951,0.0572,0.13905,0.02663,0.21795,0,0.16075,0.15286
0.494,0.2357,0.06312,0.13609,0.02663,0.21302,0.00493,0.16469,0.15976
0.496,0.24359,0.06016,0.13905,0.03353,0.22682,0,0.15286,0.14793
0.498,0.23669,0.06213,0.13807,0.03353,0.21992,0,0.16174,0.15187
0.5,0.2426,0.06114,0.13511,0.02761,0.22682,0,0.15779,0.15286
0.502,0.23866,0.06114,0.14004,0.02761,0.214,0.00493,0.16371,0.15385
0.504,0.23866,0.06213,0.13215,0.03254,0.22485,0.00493,0.1568,0.15187
0.506,0.24359,0.05819,0.13905,0.02268,0.21696,0.00493,0.16174,0.1568
