# m/z,Intensity
804.1000,3.2021
804.2000,1.2758
804.3000,3.5511
804.4000,3.6568
804.5000,7.3263
804.6000,4.4811
804.7000,0.2821
804.8000,4.1621
804.9000,2.0989
805.0000,1.9000
805.1000,5.2370
805.2000,7.7851
805.3000,12.8926
805.4000,17.0000
805.5000,7.7053
805.6000,9.9853
805.7000,2.6968
805.8000,2.0000
805.9000,2.0989
806.0000,4.7872
806.1000,3.8053
806.2000,0.8832
806.3000,3.0000
806.4000,1.3468
806.6000,4.5351
806.7000,2.1095
806.8000,0.7547
806.9000,2.4084
807.0000,0.9632
807.1000,2.0274
807.2000,1.9651
807.3000,3.9589
807.4000,1.6084
807.5000,1.7632
807.6000,0.8758
807.7000,1.4853
807.8000,0.8463
807.9000,0.2074
808.0000,3.4255
808.1000,5.7600
808.2000,4.6974
808.3000,5.0000
808.4000,3.9611
808.5000,2.2000
808.6000,1.7716
808.7000,1.1326
808.8000,0.4958
808.9000,1.0000
809.0000,2.2368
809.1000,3.1747
809.2000,1.0600
809.3000,2.9397
809.4000,1.2821
809.5000,0.0895
809.6000,1.5389
809.7000,1.3347
810.0000,0.9579
810.1000,1.0000
810.2000,0.2989
810.3000,0.1672
810.4000,1.5400
810.5000,2.0000
810.6000,1.7863
810.7000,2.0000
810.9000,0.3495
811.0000,1.7316
811.1000,0.2063
811.2000,3.0295
811.3000,0.8720
811.4000,0.7453
811.5000,0.3632
811.6000,1.9811
811.7000,2.7968
811.8000,3.7832
811.9000,1.6695
812.1000,1.8800
812.2000,1.0000
812.3000,0.2921
812.4000,0.1021
812.5000,0.4842
812.6000,0.2463
812.7000,2.4821
812.8000,1.0000
812.9000,1.9563
813.0000,1.0000
813.1000,0.1811
813.2000,1.5746
813.3000,1.2189
813.4000,0.9979
813.6000,2.0000
813.7000,3.2875
813.8000,0.8547
813.9000,0.0695
814.0000,1.0000
814.1000,1.0000
814.2000,0.8427
814.4000,1.8896
814.5000,1.0000
814.6000,1.0000
814.7000,0.1432
814.9000,1.0604
815.0000,1.0000
815.1000,0.5016
815.2000,0.8479
815.4000,0.9500
815.5000,0.6474
815.7000,0.1589
815.8000,0.5667
815.9000,2.0000
816.0000,1.1429
816.1000,1.0000
