title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.292,0.25247,0.292,0.0572,0.292,0.13116,0.292,0.04241,0.292,0.22978,0.292,0.00493,0.13116,0.292,0.15483
0.294,0.24556,0.294,0.06213,0.294,0.14004,0.294,0.02761,0.294,0.23373,0.294,0,0.14103,0.294,0.15385
0.296,0.24852,0.296,0.05819,0.296,0.13905,0.296,0.02663,0.296,0.23373,0.296,0,0.15286,0.296,0.14497
0.298,0.25049,0.298,0.06114,0.298,0.13807,0.298,0.04142,0.298,0.23274,0.298,0,0.13905,0.298,0.14103
0.3,0.23471,0.3,0.06312,0.3,0.14398,0.3,0.02367,0.3,0.21795,0.3,0.00493,0.16174,0.3,0.15385
0.302,0.24852,0.302,0.06016,0.302,0.13708,0.302,0.02268,0.302,0.22682,0.302,0.00493,0.14596,0.302,0.15779
0.304,0.24655,0.304,0.06312,0.304,0.13215,0.304,0.0286,0.304,0.23373,0.304,0.00493,0.14201,0.304,0.15286
0.306,0.25444,0.306,0.05917,0.306,0.13314,0.306,0.01874,0.306,0.22978,0.306,0.00493,0.14398,0.306,0.15976
0.308,0.24458,0.308,0.06509,0.308,0.13609,0.308,0.04043,0.308,0.23669,0.308,0.00493,0.12229,0.308,0.15385
0.31,0.23964,0.31,0.06016,0.31,0.13314,0.31,0.01874,0.31,0.22682,0.31,0.00493,0.1568,0.31,0.16371
0.312,0.24852,0.312,0.06114,0.312,0.13116,0.312,0.02465,0.312,0.21992,0.312,0,0.15878,0.312,0.15976
0.314,0.23866,0.314,0.06213,0.314,0.13807,0.314,0.0217,0.314,0.2288,0.314,0,0.14793,0.314,0.16667
0.316,0.24063,0.316,0.05917,0.316,0.14004,0.316,0.03846,0.316,0.22584,0.316,0,0.14694,0.316,0.15286
0.318,0.24359,0.318,0.06016,0.318,0.13511,0.318,0.0286,0.318,0.2288,0.318,0,0.15483,0.318,0.15286
0.32,0.25937,0.32,0.05424,0.32,0.13609,0.32,0.04536,0.32,0.2288,0.32,0.00493,0.12722,0.32,0.14793
0.322,0.25049,0.322,0.05424,0.322,0.13905,0.322,0.04043,0.322,0.22978,0.322,0,0.13116,0.322,0.15878
0.324,0.23767,0.324,0.0641,0.324,0.13905,0.324,0.0355,0.324,0.23176,0.324,0,0.12821,0.324,0.16765
0.326,0.23373,0.326,0.06706,0.326,0.13511,0.326,0.0355,0.326,0.21893,0.326,0,0.15976,0.326,0.15385
0.328,0.24852,0.328,0.05424,0.328,0.13609,0.328,0.02959,0.328,0.22091,0.328,0.00493,0.14892,0.328,0.16075
0.33,0.24951,0.33,0.0572,0.33,0.13807,0.33,0.03156,0.33,0.214,0.33,0.00493,0.15582,0.33,0.15286
0.332,0.23274,0.332,0.06706,0.332,0.14004,0.332,0.0355,0.332,0.21795,0.332,0,0.14793,0.332,0.16272
0.334,0.22978,0.334,0.0641,0.334,0.14201,0.334,0.02959,0.334,0.2288,0.334,0,0.14793,0.334,0.16174
0.336,0.24458,0.336,0.06312,0.336,0.13412,0.336,0.0355,0.336,0.21598,0.336,0,0.16568,0.336,0.14497
0.338,0.23373,0.338,0.06016,0.338,0.14201,0.338,0.04142,0.338,0.22387,0.338,0.00493,0.14892,0.338,0.14892
0.34,0.23471,0.34,0.06114,0.34,0.14004,0.34,0.03353,0.34,0.21105,0.34,0.00592,0.1568,0.34,0.16075
0.342,0.2426,0.342,0.0641,0.342,0.13314,0.342,0.04043,0.342,0.21302,0.342,0.00493,0.15976,0.342,0.14596
0.344,0.24458,0.344,0.06312,0.344,0.12821,0.344,0.04438,0.344,0.21696,0.344,0.00493,0.15089,0.344,0.15089
0.346,0.24655,0.346,0.0572,0.346,0.13807,0.346,0.0217,0.346,0.22189,0.346,0,0.17061,0.346,0.14793
0.348,0.23767,0.348,0.06213,0.348,0.14103,0.348,0.03748,0.348,0.22189,0.348,0.00493,0.14694,0.348,0.15187
0.35,0.2426,0.35,0.06312,0.35,0.13314,0.35,0.03846,0.35,0.214,0.35,0,0.16075,0.35,0.15187
0.352,0.24951,0.352,0.06607,0.352,0.13412,0.352,0.03156,0.352,0.22682,0.352,0.00493,0.15286,0.352,0.13807
0.354,0.25049,0.354,0.05917,0.354,0.13116,0.354,0.03254,0.354,0.22485,0.354,0,0.14892,0.354,0.1568
0.356,0.24359,0.356,0.05917,0.356,0.13905,0.356,0.0355,0.356,0.21893,0.356,0.00493,0.14892,0.356,0.15385
0.358,0.23669,0.358,0.06607,0.358,0.13511,0.358,0.03649,0.358,0.20907,0.358,0,0.16174,0.358,0.15878
0.36,0.24063,0.36,0.06114,0.36,0.14004,0.36,0.02761,0.36,0.21499,0.36,0,0.15976,0.36,0.15976
0.362,0.24359,0.362,0.0572,0.362,0.13609,0.362,0.03156,0.362,0.22091,0.362,0.00493,0.15286,0.362,0.1568
0.364,0.24852,0.364,0.06312,0.364,0.12821,0.364,0.02761,0.364,0.22288,0.364,0,0.15878,0.364,0.15483
0.366,0.24162,0.366,0.05621,0.366,0.14004,0.366,0.02959,0.366,0.23077,0.366,0,0.14694,0.366,0.15878
0.368,0.24162,0.368,0.05424,0.368,0.14201,0.368,0.0286,0.368,0.22485,0.368,0.00493,0.1568,0.368,0.15089
0.37,0.24655,0.37,0.06114,0.37,0.13314,0.37,0.03748,0.37,0.22091,0.37,0,0.1499,0.37,0.15483
0.372,0.23767,0.372,0.05819,0.372,0.14103,0.372,0.03945,0.372,0.21499,0.372,0.00493,0.1499,0.372,0.15779
0.374,0.2426,0.374,0.05819,0.374,0.143,0.374,0.0355,0.374,0.22288,0.374,0.00493,0.14497,0.374,0.15187
