title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.678,31.4878,24781.8911,4695.82,6181.66
0.68,31.504,24278.5622,4690.47,6175.14
0.682,31.5669,24511.2524,4688.95,6173.37
0.684,31.625,24386.2887,4699.58,6187.13
0.686,31.6006,24803.1049,4710.45,6203.1
0.688,31.6145,24724.9972,4701.7,6189.87
0.69,31.6287,24715.5948,4692.18,6174.53
0.692,31.5753,24918.4038,4705.63,6188.64
0.694,31.6164,24515.5289,4707.9,6197.87
0.696,31.565,24634.9714,4700.06,6179.67
0.698,31.5792,24468.0927,4691,6174.96
0.7,31.5427,24581.841,4689.43,6173.77
0.702,31.5307,24892.0863,4692.47,6177.21
0.704,31.5668,24524.0516,4702.57,6194.5
0.706,31.5187,24740.874,4687.41,6163.06
0.708,31.5087,24380.4512,4686.47,6166.38
0.71,31.5846,24667.7582,4692.16,6178.61
0.712,31.5844,24776.2889,4697.44,6187.45
0.714,31.5573,24510.4926,4696.9,6186.39
0.716,31.6418,24822.0211,4709.17,6202.59
0.718,31.6744,24857.5914,4721.78,6217.9
0.72,31.5825,24869.0007,4701.66,6192.92
0.722,31.5006,24441.003,4693.16,6177.49
0.724,31.4157,24233.6679,4684.47,6163.54
0.726,31.3928,24186.8492,4686.54,6169.85
0.728,31.4643,24046.4683,4688.21,6175.18
0.73,31.4569,23963.1938,4684.95,6171.86
0.732,31.5891,24246.978,4689.03,6171.73
0.734,31.6259,24778.48,4710.02,6203.61
0.736,31.6084,24631.6593,4699.24,6182.98
0.738,31.5526,24814.7253,4701.22,6190.89
0.74,31.557,24866.4556,4705.9,6196.74
0.742,31.587,25005.7587,4714.23,6203.57
0.744,31.5951,25280.0969,4711.01,6196.83
0.746,31.5987,24831.9834,4704.1,6187.6
0.748,31.4935,24324.5276,4683.24,6158.36
0.75,31.4953,24715.1056,4687.28,6167.16
0.752,31.526,24908.1785,4689.91,6173.9
0.754,31.5465,24704.9647,4692.54,6169.07
0.756,31.4972,24510.0034,4689.93,6166.39
0.758,31.4803,24682.7188,4695.22,6183.56
0.76,31.4725,24692.0029,4695.64,6179.45
0.762,31.5475,24515.2609,4701.2,6187.21
0.764,31.4934,24095.3276,4678.94,6151.51
0.766,31.562,25346.8006,4709.97,6200.56
0.768,31.5936,25104.7998,4702.26,6182.82
0.77,31.5051,24746.273,4700.37,6181.92
0.772,31.5372,24280.5053,4698.75,6188.15
0.774,31.6589,25379.7503,4725.52,6220.57
0.776,31.5382,24314.4443,4694.62,6184.41
0.778,31.5439,25232.5368,4705.85,6198.45
0.78,31.5706,25167.8858,4706.2,6201.59
0.782,31.5389,24263.0811,4690.25,6174.43
0.784,31.6206,24909.7822,4715.47,6204.64
0.786,31.5622,25089.982,4704.12,6190.25
0.788,31.5994,24892.0008,4703.8,6189.11
0.79,31.6289,25276.8376,4715.35,6206.18
0.792,31.5353,24472.5729,4697.48,6176.77
0.794,31.5478,24610.7867,4710.29,6198.23
0.796,31.4803,24782.2256,4706.17,6195.23
0.798,31.4216,24734.0875,4700.29,6188.9
0.8,31.366,24442.3832,4685.09,6168.36
0.802,31.4265,24342.9367,4695.3,6187.14
0.804,31.5222,24899.4049,4709.42,6202.86
0.806,31.5205,24907.4656,4704.78,6191.19
0.808,31.5196,24763.6863,4699.76,6183.74
0.81,31.4997,24716.9916,4689.17,6168.42
0.812,31.4858,24777.5371,4694.79,6182.52
0.814,31.4261,24532.4454,4688.44,6170.72
0.816,31.4402,24343.223,4708.75,6199.86
0.818,31.4987,24521.6178,4701.01,6187.69
0.82,31.4334,24635.0271,4701.06,6194.14
0.822,31.387,24473.4628,4687.63,6179.24
0.824,31.4424,24827.8242,4697.36,6186.44
0.826,31.4539,24476.8558,4699.42,6185.03
0.828,31.4354,24735.875,4698.96,6186.23
0.83,31.5165,25028.1493,4707.26,6191.16
0.832,31.5028,24688.9525,4705.34,6194.84
0.834,31.4238,24612.292,4694.27,6175.8
0.836,31.4822,24713.6705,4696.31,6182.39
0.838,31.4682,24358.3942,4682.14,6164.52
0.84,31.509,24838.1665,4698.68,6184.8
0.842,31.5401,24734.6799,4702.01,6199.05
0.844,31.6182,24627.4106,4714.73,6210.16
0.846,31.5777,24889.2724,4706.97,6192.87
0.848,31.512,25220.4852,4703.87,6203.2
0.85,31.4998,25110.8841,4694.41,6181.41
0.852,31.4842,24510.4869,4702.01,6189.83
0.854,31.5013,24742.1286,4698.78,6190.79
0.856,31.5107,24698.8263,4703.34,6195.07
0.858,31.5653,24883.4767,4699.73,6186.89
0.86,31.598,24552.4211,4691.3,6166.26
0.862,31.5546,24825.6001,4704.33,6196.09
0.864,31.5541,24457.1549,4699.75,6175.6
0.866,31.5663,24962.7676,4707.98,6200.01
0.868,31.5156,24631.4467,4691.96,6177.24
